Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Year,Day,Hour,,,,
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016 13:00,2016,Monday,,,,,
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016 18:47,2016,Monday,,,Row Labels,Count of Request id,
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016 09:58,2016,Tuesday,,,Airport,3238,
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016 22:03,2016,Tuesday,,,City,3507,
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25,2016,Wednesday,,,Grand Total,6745,
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28,2016,Wednesday,,,,,
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13,2016,Thursday,,,,,
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07,2016,Friday,,,,,
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50,2016,Friday,,,,,
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016 07:25,2016,Monday,,,,,
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016 06:02,2016,Tuesday,,,,,
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016 12:57,2016,Tuesday,,,,,
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23,2016,Wednesday,,,,,
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16,2016,Wednesday,,,,,
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35,2016,Wednesday,,,,,
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20,2016,Wednesday,,,,,
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36,2016,Thursday,,,,,
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18,2016,Thursday,,,,,
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016 10:31,2016,Monday,,,,,
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016 19:23,2016,Monday,,,,,
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016 12:23,2016,Tuesday,,,,,
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016 16:40,2016,Tuesday,,,,,
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016 18:28,2016,Tuesday,,,,,
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016 09:22,2016,Wednesday,,,,,
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016 22:51,2016,Wednesday,,,,,
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016 22:25,2016,Thursday,,,,,
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016 03:24,2016,Friday,,,,,
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016 10:53,2016,Friday,,,,,
669,City,4,Trip Completed,11-07-2016 13:08,11-07-2016 13:49,2016,Monday,,,,,
1567,Airport,4,Trip Completed,12-07-2016 06:21,12-07-2016 07:10,2016,Tuesday,,,,,
1826,City,4,Trip Completed,12-07-2016 09:27,12-07-2016 10:27,2016,Tuesday,,,,,
2102,City,4,Trip Completed,12-07-2016 16:09,12-07-2016 17:01,2016,Tuesday,,,,,
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016 06:09,2016,Wednesday,,,,,
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016 20:32,2016,Wednesday,,,,,
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016 03:21,2016,Thursday,,,,,
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016 13:45,2016,Thursday,,,,,
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016 09:37,2016,Friday,,,,,
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016 15:47,2016,Friday,,,,,
312,City,5,Trip Completed,11-07-2016 07:27,11-07-2016 08:31,2016,Monday,,,,,
577,Airport,5,Trip Completed,11-07-2016 11:03,11-07-2016 12:01,2016,Monday,,,,,
1179,City,5,Trip Completed,11-07-2016 20:58,11-07-2016 21:45,2016,Monday,,,,,
1756,Airport,5,Trip Completed,12-07-2016 08:40,12-07-2016 09:23,2016,Tuesday,,,,,
2052,City,5,Trip Completed,12-07-2016 14:48,12-07-2016 15:50,2016,Tuesday,,,,,
2559,City,5,Trip Completed,12-07-2016 21:32,12-07-2016 22:29,2016,Tuesday,,,,,
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016 08:29,2016,Wednesday,,,,,
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016 12:46,2016,Wednesday,,,,,
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016 07:49,2016,Thursday,,,,,
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016 10:07,2016,Friday,,,,,
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016 23:51,2016,Friday,,,,,
1517,Airport,6,Trip Completed,12-07-2016 05:45,12-07-2016 06:28,2016,Tuesday,,,,,
1999,Airport,6,Trip Completed,12-07-2016 13:02,12-07-2016 13:51,2016,Tuesday,,,,,
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016 07:40,2016,Wednesday,,,,,
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016 22:45,2016,Wednesday,,,,,
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016 03:30,2016,Thursday,,,,,
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016 15:38,2016,Thursday,,,,,
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016 22:25,2016,Thursday,,,,,
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016 01:07,2016,Friday,,,,,
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016 08:38,2016,Friday,,,,,
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016 15:33,2016,Friday,,,,,
1039,City,7,Trip Completed,11-07-2016 19:31,11-07-2016 20:41,2016,Monday,,,,,
1273,Airport,7,Trip Completed,11-07-2016 22:07,11-07-2016 23:12,2016,Monday,,,,,
2480,City,7,Trip Completed,12-07-2016 20:39,12-07-2016 21:28,2016,Tuesday,,,,,
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016 04:39,2016,Thursday,,,,,
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016 10:17,2016,Thursday,,,,,
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016 19:50,2016,Thursday,,,,,
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016 10:40,2016,Friday,,,,,
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016 16:36,2016,Friday,,,,,
380,Airport,8,Trip Completed,11-07-2016 08:18,11-07-2016 09:18,2016,Monday,,,,,
1050,Airport,8,Trip Completed,11-07-2016 19:39,11-07-2016 20:30,2016,Monday,,,,,
1769,City,8,Trip Completed,12-07-2016 08:57,12-07-2016 09:24,2016,Tuesday,,,,,
2520,City,8,Trip Completed,12-07-2016 21:05,12-07-2016 22:20,2016,Tuesday,,,,,
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016 11:07,2016,Wednesday,,,,,
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016 12:59,2016,Thursday,,,,,
449,Airport,9,Trip Completed,11-07-2016 09:08,11-07-2016 09:52,2016,Monday,,,,,
846,Airport,9,Trip Completed,11-07-2016 17:46,11-07-2016 18:52,2016,Monday,,,,,
1346,Airport,9,Trip Completed,11-07-2016 23:39,12-07-2016 00:23,2016,Monday,,,,,
1474,Airport,9,Trip Completed,12-07-2016 05:13,12-07-2016 05:56,2016,Tuesday,,,,,
2240,City,9,Trip Completed,12-07-2016 18:20,12-07-2016 18:54,2016,Tuesday,,,,,
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016 08:36,2016,Wednesday,,,,,
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016 17:31,2016,Wednesday,,,,,
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016 21:27,2016,Wednesday,,,,,
4023,City,9,Trip Completed,13-07-2016 23:58,14-07-2016 00:58,2016,Wednesday,,,,,
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016 05:07,2016,Thursday,,,,,
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016 19:02,2016,Thursday,,,,,
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016 06:25,2016,Friday,,,,,
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016 12:32,2016,Friday,,,,,
1809,Airport,10,Trip Completed,12-07-2016 09:13,12-07-2016 10:01,2016,Tuesday,,,,,
2064,Airport,10,Trip Completed,12-07-2016 15:08,12-07-2016 16:14,2016,Tuesday,,,,,
3210,City,10,Trip Completed,13-07-2016 09:47,13-07-2016 10:52,2016,Wednesday,,,,,
4350,City,10,Trip Completed,14-07-2016 07:24,14-07-2016 08:22,2016,Thursday,,,,,
4713,City,10,Trip Completed,14-07-2016 13:31,14-07-2016 14:10,2016,Thursday,,,,,
5629,Airport,10,Trip Completed,15-07-2016 06:33,15-07-2016 07:19,2016,Friday,,,,,
6157,Airport,10,Trip Completed,15-07-2016 16:32,15-07-2016 17:44,2016,Friday,,,,,
2030,City,11,Trip Completed,12-07-2016 14:11,12-07-2016 15:02,2016,Tuesday,,,,,
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016 11:02,2016,Wednesday,,,,,
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016 14:09,2016,Wednesday,,,,,
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016 07:12,2016,Thursday,,,,,
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016 19:14,2016,Thursday,,,,,
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016 07:59,2016,Friday,,,,,
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016 09:13,2016,Friday,,,,,
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016 20:26,2016,Friday,,,,,
45,Airport,12,Trip Completed,11-07-2016 03:17,11-07-2016 04:09,2016,Monday,,,,,
264,City,12,Trip Completed,11-07-2016 06:51,11-07-2016 07:40,2016,Monday,,,,,
1183,City,12,Trip Completed,11-07-2016 21:05,11-07-2016 21:38,2016,Monday,,,,,
1536,Airport,12,Trip Completed,12-07-2016 05:59,12-07-2016 06:59,2016,Tuesday,,,,,
2437,City,12,Trip Completed,12-07-2016 20:18,12-07-2016 21:26,2016,Tuesday,,,,,
2641,Airport,12,Trip Completed,12-07-2016 22:28,12-07-2016 23:05,2016,Tuesday,,,,,
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016 03:13,2016,Thursday,,,,,
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016 11:39,2016,Thursday,,,,,
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016 20:14,2016,Thursday,,,,,
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016 08:12,2016,Friday,,,,,
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016 10:50,2016,Friday,,,,,
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016 19:46,2016,Friday,,,,,
155,City,13,Trip Completed,11-07-2016 05:32,11-07-2016 06:28,2016,Monday,,,,,
310,Airport,13,Trip Completed,11-07-2016 07:24,11-07-2016 08:28,2016,Monday,,,,,
